ticker,buffett_score,alpha_adj,conviction,verdict,material_killers
UTHR,7.6,0.26,MODERATE,Watchlist,0
ZTS,7.6,0.26,MODERATE,Watchlist,1
BX,7.5,0.25,MODERATE,Watchlist,0
CINF,7.5,0.25,MODERATE,Watchlist,0
ERIE,7.5,0.25,MODERATE,Watchlist,0
LVS,7.5,0.25,MODERATE,Watchlist,0
NTAP,7.5,0.25,MODERATE,Watchlist,2
RNR,7.5,0.25,MODERATE,Watchlist,0
MCD,7.4,0.24,MODERATE,Watchlist,1
BAM,7.4,0.24,MODERATE,Watchlist,0
LECO,7.4,0.24,MODERATE,Watchlist,0
AU,7.4,0.24,MODERATE,Watchlist,1
ALL,7.3,0.23,MODERATE,Watchlist,1
ACGL,7.3,0.23,MODERATE,Watchlist,0
LULU,7.3,0.23,MODERATE,Watchlist,0
MRSH,7.3,0.23,MODERATE,Watchlist,1
TMUS,7.3,0.23,MODERATE,Watchlist,0
TRV,7.3,0.23,MODERATE,Watchlist,1
AMP,7.2,0.22,MODERATE,Watchlist,1
APO,7.2,0.22,MODERATE,Watchlist,0
HIG,7.2,0.22,MODERATE,Watchlist,1
MRK,7.2,0.22,MODERATE,Watchlist,1
PAYX,7.2,0.22,MODERATE,Watchlist,2
PNR,7.2,0.22,MODERATE,Watchlist,0
PGR,7.2,0.22,MODERATE,Watchlist,1
PTC,7.2,0.22,MODERATE,Watchlist,2
NLY,7.2,0.22,MODERATE,Watchlist,1
GGG,7.2,0.22,MODERATE,Watchlist,1
PAYC,7.2,0.22,MODERATE,Watchlist,2
GAP,7.2,0.22,MODERATE,Watchlist,0
VIRT,7.2,0.22,MODERATE,Watchlist,1
DLB,7.2,0.22,MODERATE,Watchlist,0
TROW,7.2,0.22,MODERATE,Watchlist,0
TTD,7.2,0.22,MODERATE,Watchlist,0
WTW,7.2,0.22,MODERATE,Watchlist,1
PRI,7.2,0.22,MODERATE,Watchlist,1
KNSL,7.2,0.22,MODERATE,Watchlist,1
GOOG,7.1,0.21,MODERATE,Watchlist,1
AMGN,7.1,0.21,MODERATE,Watchlist,1
KO,7.1,0.21,MODERATE,Watchlist,0
STZ,7.1,0.21,MODERATE,Watchlist,0
FFIV,7.1,0.21,MODERATE,Watchlist,2
INTU,7.1,0.21,MODERATE,Watchlist,1
JNJ,7.1,0.21,MODERATE,Watchlist,1
ROST,7.1,0.21,MODERATE,Watchlist,0
EWBC,7.1,0.21,MODERATE,Watchlist,1
ALSN,7.1,0.21,MODERATE,Watchlist,1
AS,7.1,0.21,MODERATE,Watchlist,0
RLI,7.1,0.21,MODERATE,Watchlist,0
HRB,7.1,0.21,MODERATE,Watchlist,0
SYF,7.1,0.21,MODERATE,Watchlist,1
UNP,7.1,0.21,MODERATE,Watchlist,1
MTCH,7.1,0.21,MODERATE,Watchlist,1
TIGO,7.1,0.21,MODERATE,Watchlist,0
ONON,7.1,0.21,MODERATE,Watchlist,0
AAPL,7.0,0.2,MODERATE,Watchlist,1
AVGO,7.0,0.2,MODERATE,Watchlist,1
SCHW,7.0,0.2,MODERATE,Watchlist,1
CB,7.0,0.2,MODERATE,Watchlist,1
CL,7.0,0.2,MODERATE,Watchlist,1
IBKR,7.0,0.2,MODERATE,Watchlist,0
MAS,7.0,0.2,MODERATE,Watchlist,1
MA,7.0,0.2,MODERATE,Watchlist,1
PM,7.0,0.2,MODERATE,Watchlist,1
RL,7.0,0.2,MODERATE,Watchlist,0
CG,7.0,0.2,MODERATE,Watchlist,0
AGNC,7.0,0.2,MODERATE,Watchlist,1
JHG,7.0,0.2,MODERATE,Watchlist,1
GTES,7.0,0.2,MODERATE,Watchlist,0
MKTX,7.0,0.2,MODERATE,Watchlist,0
HLNE,7.0,0.2,MODERATE,Watchlist,1
TJX,7.0,0.2,MODERATE,Watchlist,1
VRSN,7.0,0.2,MODERATE,Watchlist,2
WTFC,7.0,0.2,MODERATE,Watchlist,0
BSX,6.9,0.19,MODERATE,Watchlist,1
IT,6.9,0.19,MODERATE,Watchlist,1
GILD,6.9,0.19,MODERATE,Watchlist,1
MTD,6.9,0.19,MODERATE,Watchlist,1
NWS,6.9,0.19,MODERATE,Watchlist,0
PG,6.9,0.19,MODERATE,Watchlist,1
FCNCA,6.9,0.19,MODERATE,Watchlist,0
CSL,6.9,0.19,MODERATE,Watchlist,0
TEM,6.9,0.19,MODERATE,Watchlist,0
EHC,6.9,0.19,MODERATE,Watchlist,0
CR,6.9,0.19,MODERATE,Watchlist,0
CFR,6.9,0.19,MODERATE,Watchlist,1
AIZ,6.8,0.18,MODERATE,Watchlist,1
CPRT,6.8,0.18,MODERATE,Watchlist,1
FDS,6.8,0.18,MODERATE,Watchlist,1
FOX,6.8,0.18,MODERATE,Watchlist,0
IDXX,6.8,0.18,MODERATE,Watchlist,1
INCY,6.8,0.18,MODERATE,Watchlist,1
ORLY,6.8,0.18,MODERATE,Watchlist,1
THG,6.8,0.18,MODERATE,Watchlist,1
AXTA,6.8,0.18,MODERATE,Watchlist,1
BSY,6.8,0.18,MODERATE,Watchlist,1
MRP,6.8,0.18,MODERATE,Watchlist,1
SYK,6.8,0.18,MODERATE,Watchlist,1
TPL,6.8,0.18,MODERATE,Watchlist,1
TT,6.8,0.18,MODERATE,Watchlist,1
WMT,6.8,0.18,MODERATE,Watchlist,0
NU,6.8,0.18,MODERATE,Watchlist,1
SSB,6.8,0.18,MODERATE,Watchlist,0
ORI,6.8,0.18,MODERATE,Watchlist,1
MANH,6.8,0.18,MODERATE,Watchlist,1
XP,6.8,0.18,MODERATE,Watchlist,1
CMCSA,6.7,0.17,MODERATE,Watchlist,1
DXCM,6.7,0.17,MODERATE,Watchlist,1
HUBB,6.7,0.17,MODERATE,Watchlist,1
LII,6.7,0.17,MODERATE,Watchlist,1
OTIS,6.7,0.17,MODERATE,Watchlist,1
PPG,6.7,0.17,MODERATE,Watchlist,1
RCL,6.7,0.17,MODERATE,Watchlist,0
CRM,6.7,0.17,MODERATE,Watchlist,1
RPM,6.7,0.17,MODERATE,Watchlist,0
BJ,6.7,0.17,MODERATE,Watchlist,1
WMS,6.7,0.17,MODERATE,Watchlist,1
DUOL,6.7,0.17,MODERATE,Watchlist,1
LPLA,6.7,0.17,MODERATE,Watchlist,1
RRC,6.7,0.17,MODERATE,Watchlist,0
VNOM,6.7,0.17,MODERATE,Watchlist,1
HLI,6.7,0.17,MODERATE,Watchlist,1
AXS,6.7,0.17,MODERATE,Watchlist,1
REYN,6.7,0.17,MODERATE,Watchlist,0
ADP,6.6,0.16,MODERATE,Watchlist,2
CF,6.6,0.16,MODERATE,Watchlist,1
CME,6.6,0.16,MODERATE,Watchlist,1
CTRA,6.6,0.16,MODERATE,Watchlist,0
EBAY,6.6,0.16,MODERATE,Watchlist,1
EFX,6.6,0.16,MODERATE,Watchlist,1
FAST,6.6,0.16,MODERATE,Watchlist,1
FCX,6.6,0.16,MODERATE,Watchlist,1
GL,6.6,0.16,MODERATE,Watchlist,1
KKR,6.6,0.16,MODERATE,Watchlist,0
NFLX,6.6,0.16,MODERATE,Watchlist,1
OXY,6.6,0.16,MODERATE,Watchlist,0
RSG,6.6,0.16,MODERATE,Watchlist,1
VEEV,6.6,0.16,MODERATE,Watchlist,1
SYY,6.6,0.16,MODERATE,Watchlist,1
VLTO,6.6,0.16,MODERATE,Watchlist,1
BPOP,6.6,0.16,MODERATE,Watchlist,0
AFL,6.5,0.15,MODERATE,Watchlist,1
BK,6.5,0.15,MODERATE,Watchlist,1
BMY,6.5,0.15,MODERATE,Watchlist,1
CBOE,6.5,0.15,MODERATE,Watchlist,1
CMG,6.5,0.15,MODERATE,Watchlist,1
CHD,6.5,0.15,MODERATE,Watchlist,1
SPGI,6.5,0.15,MODERATE,Watchlist,1
MLI,6.5,0.15,MODERATE,Watchlist,0
EVR,6.5,0.15,MODERATE,Watchlist,1
MTG,6.5,0.15,MODERATE,Watchlist,0
CHE,6.5,0.15,MODERATE,Watchlist,0
WTM,6.5,0.15,MODERATE,Watchlist,0
GNTX,6.5,0.15,MODERATE,Watchlist,1
BBWI,6.5,0.15,MODERATE,Watchlist,1
MSM,6.5,0.15,MODERATE,Watchlist,0
URI,6.5,0.15,MODERATE,Watchlist,1
VRSK,6.5,0.15,MODERATE,Watchlist,1
GWW,6.5,0.15,MODERATE,Watchlist,1
WFC,6.5,0.15,MODERATE,Watchlist,1
ZION,6.5,0.15,MODERATE,Watchlist,0
CLX,6.4,0.14,MODERATE,Watchlist,1
COP,6.4,0.14,MODERATE,Watchlist,1
COST,6.4,0.14,MODERATE,Watchlist,1
CRH,6.4,0.14,MODERATE,Watchlist,1
ETN,6.4,0.14,MODERATE,Watchlist,1
GRMN,6.4,0.14,MODERATE,Watchlist,1
GEHC,6.4,0.14,MODERATE,Watchlist,1
GS,6.4,0.14,MODERATE,Watchlist,1
ITW,6.4,0.14,MODERATE,Watchlist,1
ICE,6.4,0.14,MODERATE,Watchlist,1
JKHY,6.4,0.14,MODERATE,Watchlist,2
PH,6.4,0.14,MODERATE,Watchlist,1
PYPL,6.4,0.14,MODERATE,Watchlist,1
ITT,6.4,0.14,MODERATE,Watchlist,1
THC,6.4,0.14,MODERATE,Watchlist,0
ZS,6.4,0.14,MODERATE,Watchlist,1
MSA,6.4,0.14,MODERATE,Watchlist,1
CROX,6.4,0.14,MODERATE,Watchlist,0
EXLS,6.4,0.14,MODERATE,Watchlist,1
LAZ,6.4,0.14,MODERATE,Watchlist,1
VRTX,6.4,0.14,MODERATE,Watchlist,2
WSM,6.4,0.14,MODERATE,Watchlist,0
XYL,6.4,0.14,MODERATE,Watchlist,1
BAH,6.4,0.14,MODERATE,Watchlist,0
AME,6.3,0.13,MODERATE,Watchlist,1
CAH,6.3,0.13,MODERATE,Watchlist,1
DOV,6.3,0.13,MODERATE,Watchlist,0
KMB,6.3,0.13,MODERATE,Watchlist,1
KLAC,6.3,0.13,MODERATE,Watchlist,2
PEP,6.3,0.13,MODERATE,Watchlist,1
ZM,6.3,0.13,MODERATE,Watchlist,2
FTAI,6.3,0.13,MODERATE,Watchlist,0
RGLD,6.3,0.13,MODERATE,Watchlist,1
DKS,6.3,0.13,MODERATE,Watchlist,0
TPG,6.3,0.13,MODERATE,Watchlist,1
SHW,6.3,0.13,MODERATE,Watchlist,1
TRGP,6.3,0.13,MODERATE,Watchlist,0
USB,6.3,0.13,MODERATE,Watchlist,1
WRB,6.3,0.13,MODERATE,Watchlist,0
WM,6.3,0.13,MODERATE,Watchlist,1
WAL,6.3,0.13,MODERATE,Watchlist,0
NFG,6.3,0.13,MODERATE,Watchlist,0
SSD,6.3,0.13,MODERATE,Watchlist,1
T,6.2,0.12,MODERATE,Watchlist,1
AZO,6.2,0.12,MODERATE,Watchlist,1
BAC,6.2,0.12,MODERATE,Watchlist,1
BRK-B,6.2,0.12,MODERATE,Watchlist,0
BRO,6.2,0.12,MODERATE,Watchlist,1
LIN,6.2,0.12,MODERATE,Watchlist,1
MSI,6.2,0.12,MODERATE,Watchlist,2
NDAQ,6.2,0.12,MODERATE,Watchlist,1
PNC,6.2,0.12,MODERATE,Watchlist,1
MKL,6.2,0.12,MODERATE,Watchlist,0
NYT,6.2,0.12,MODERATE,Watchlist,0
OKTA,6.2,0.12,MODERATE,Watchlist,2
COKE,6.2,0.12,MODERATE,Watchlist,1
FNB,6.2,0.12,MODERATE,Watchlist,0
ESAB,6.2,0.12,MODERATE,Watchlist,1
OZK,6.2,0.12,MODERATE,Watchlist,1
WAT,6.2,0.12,MODERATE,Watchlist,1
WDAY,6.2,0.12,MODERATE,Watchlist,1
DT,6.2,0.12,MODERATE,Watchlist,2
COLB,6.2,0.12,MODERATE,Watchlist,1
ABT,6.1,0.11,MODERATE,Watchlist,1
CDNS,6.1,0.11,MODERATE,Watchlist,2
CTVA,6.1,0.11,MODERATE,Watchlist,1
EOG,6.1,0.11,MODERATE,Watchlist,1
XOM,6.1,0.11,MODERATE,Watchlist,1
GDDY,6.1,0.11,MODERATE,Watchlist,2
MTB,6.1,0.11,MODERATE,Watchlist,1
QCOM,6.1,0.11,MODERATE,Watchlist,2
NOW,6.1,0.11,MODERATE,Watchlist,2
FTI,6.1,0.11,MODERATE,Watchlist,0
CNM,6.1,0.11,MODERATE,Watchlist,1
LNT,6.0,0.0,LOW,Pass,2
AEE,6.0,0.0,LOW,Pass,2
AMT,6.0,0.0,LOW,Pass,2
ARES,6.0,0.0,LOW,Pass,2
CHTR,6.0,0.0,LOW,Pass,1
CMS,6.0,0.0,LOW,Pass,2
COO,6.0,0.0,LOW,Pass,1
CPAY,6.0,0.0,LOW,Pass,2
DRI,6.0,0.0,LOW,Pass,2
DVA,6.0,0.0,LOW,Pass,1
D,6.0,0.0,LOW,Pass,2
DPZ,6.0,0.0,LOW,Pass,2
DUK,6.0,0.0,LOW,Pass,2
ECL,6.0,0.0,LOW,Pass,1
EIX,6.0,0.0,LOW,Pass,2
ES,6.0,0.0,LOW,Pass,2
EXC,6.0,0.0,LOW,Pass,2
FE,6.0,0.0,LOW,Pass,2
GEN,6.0,0.0,LOW,Pass,3
GPN,6.0,0.0,LOW,Pass,2
HLT,6.0,0.0,LOW,Pass,1
HON,6.0,0.0,LOW,Pass,2
KDP,6.0,0.0,LOW,Pass,1
KVUE,6.0,0.0,LOW,Pass,1
KIM,6.0,0.0,LOW,Pass,1
KMI,6.0,0.0,LOW,Pass,1
KHC,6.0,0.0,LOW,Pass,0
MCK,6.0,0.0,LOW,Pass,1
MDT,6.0,0.0,LOW,Pass,1
MET,6.0,0.0,LOW,Pass,1
NEM,6.0,0.0,LOW,Pass,1
ORCL,6.0,0.0,LOW,Pass,2
OKE,6.0,0.0,LOW,Pass,2
PFG,6.0,0.0,LOW,Pass,0
PRU,6.0,0.0,LOW,Pass,2
RF,6.0,0.0,LOW,Pass,1
SBAC,6.0,0.0,LOW,Pass,2
APG,6.0,0.0,LOW,Pass,0
FLUT,6.0,0.0,LOW,Pass,1
WPC,6.0,0.0,LOW,Pass,1
OHI,6.0,0.0,LOW,Pass,2
DTM,6.0,0.0,LOW,Pass,1
GLPI,6.0,0.0,LOW,Pass,1
WBS,6.0,0.0,LOW,Pass,1
LAMR,6.0,0.0,LOW,Pass,1
WTRG,6.0,0.0,LOW,Pass,2
HUBS,6.0,0.0,LOW,Pass,2
FAF,6.0,0.0,LOW,Pass,0
WH,6.0,0.0,LOW,Pass,1
PB,6.0,0.0,LOW,Pass,0
FCN,6.0,0.0,LOW,Pass,0
PLNT,6.0,0.0,LOW,Pass,2
WEX,6.0,0.0,LOW,Pass,2
RITM,6.0,0.0,LOW,Pass,1
WING,6.0,0.0,LOW,Pass,2
DBX,6.0,0.0,LOW,Pass,3
APLS,6.0,0.0,LOW,Pass,2
EPR,6.0,0.0,LOW,Pass,1
TNL,6.0,0.0,LOW,Pass,1
ESTC,6.0,0.0,LOW,Pass,1
SHC,6.0,0.0,LOW,Pass,1
SPG,6.0,0.0,LOW,Pass,1
SOLV,6.0,0.0,LOW,Pass,1
TDG,6.0,0.0,LOW,Pass,2
ULTA,6.0,0.0,LOW,Pass,1
UAL,6.0,0.0,LOW,Pass,1
VICI,6.0,0.0,LOW,Pass,2
WAB,6.0,0.0,LOW,Pass,1
WEC,6.0,0.0,LOW,Pass,2
WYNN,6.0,0.0,LOW,Pass,1
XEL,6.0,0.0,LOW,Pass,2
YUM,6.0,0.0,LOW,Pass,2
ALNY,6.0,0.0,LOW,Pass,3
CW,6.0,0.0,LOW,Pass,1
NTRA,6.0,0.0,LOW,Pass,0
DKNG,6.0,0.0,LOW,Pass,1
DCI,6.0,0.0,LOW,Pass,1
AYI,6.0,0.0,LOW,Pass,1
CRUS,6.0,0.0,LOW,Pass,2
ADC,6.0,0.0,LOW,Pass,1
ATR,6.0,0.0,LOW,Pass,1
NNN,6.0,0.0,LOW,Pass,2
AMG,6.0,0.0,LOW,Pass,1
QGEN,6.0,0.0,LOW,Pass,1
VOYA,6.0,0.0,LOW,Pass,2
FIGR,6.0,0.0,LOW,Pass,2
COTY,6.0,0.0,LOW,Pass,1
UWMC,6.0,0.0,LOW,Pass,1
A,5.9,0.0,LOW,Pass,1
CCL,5.9,0.0,LOW,Pass,1
FIX,5.9,0.0,LOW,Pass,0
FOXA,5.9,0.0,LOW,Pass,0
LOW,5.9,0.0,LOW,Pass,1
NTRS,5.9,0.0,LOW,Pass,1
PCG,5.9,0.0,LOW,Pass,2
HOOD,5.9,0.0,LOW,Pass,1
P,5.9,0.0,LOW,Pass,1
OVV,5.9,0.0,LOW,Pass,1
TW,5.9,0.0,LOW,Pass,1
ALLY,5.9,0.0,LOW,Pass,0
TEAM,5.9,0.0,LOW,Pass,2
AIT,5.9,0.0,LOW,Pass,1
AMH,5.9,0.0,LOW,Pass,2
KEX,5.9,0.0,LOW,Pass,1
CNA,5.9,0.0,LOW,Pass,1
AEP,5.8,0.0,LOW,Pass,2
AWK,5.8,0.0,LOW,Pass,2
APA,5.8,0.0,LOW,Pass,1
ATO,5.8,0.0,LOW,Pass,2
CAT,5.8,0.0,LOW,Pass,1
ED,5.8,0.0,LOW,Pass,2
FANG,5.8,0.0,LOW,Pass,0
EA,5.8,0.0,LOW,Pass,1
EG,5.8,0.0,LOW,Pass,1
IR,5.8,0.0,LOW,Pass,1
MU,5.8,0.0,LOW,Pass,2
PNW,5.8,0.0,LOW,Pass,2
PPL,5.8,0.0,LOW,Pass,2
REGN,5.8,0.0,LOW,Pass,1
RDDT,5.8,0.0,LOW,Pass,1
RBC,5.8,0.0,LOW,Pass,0
JAZZ,5.8,0.0,LOW,Pass,1
PINS,5.8,0.0,LOW,Pass,0
TXRH,5.8,0.0,LOW,Pass,1
ETSY,5.8,0.0,LOW,Pass,1
SIRI,5.8,0.0,LOW,Pass,1
OLLI,5.8,0.0,LOW,Pass,1
MAT,5.8,0.0,LOW,Pass,1
OLED,5.8,0.0,LOW,Pass,2
UHAL,5.8,0.0,LOW,Pass,1
SO,5.8,0.0,LOW,Pass,2
TSCO,5.8,0.0,LOW,Pass,1
UHS,5.8,0.0,LOW,Pass,1
WMB,5.8,0.0,LOW,Pass,2
NTNX,5.8,0.0,LOW,Pass,3
BRX,5.8,0.0,LOW,Pass,2
DOCU,5.8,0.0,LOW,Pass,2
AGCO,5.8,0.0,LOW,Pass,0
SFD,5.8,0.0,LOW,Pass,0
ABBV,5.7,0.0,LOW,Pass,1
BBY,5.7,0.0,LOW,Pass,1
BR,5.7,0.0,LOW,Pass,2
BF-B,5.7,0.0,LOW,Pass,0
COR,5.7,0.0,LOW,Pass,0
CSCO,5.7,0.0,LOW,Pass,2
DVN,5.7,0.0,LOW,Pass,1
DASH,5.7,0.0,LOW,Pass,1
EMR,5.7,0.0,LOW,Pass,1
HD,5.7,0.0,LOW,Pass,1
HWM,5.7,0.0,LOW,Pass,1
IBM,5.7,0.0,LOW,Pass,3
MKC,5.7,0.0,LOW,Pass,1
ROK,5.7,0.0,LOW,Pass,1
SLB,5.7,0.0,LOW,Pass,1
VNT,5.7,0.0,LOW,Pass,2
PATH,5.7,0.0,LOW,Pass,2
STT,5.7,0.0,LOW,Pass,1
VZ,5.7,0.0,LOW,Pass,1
DV,5.7,0.0,LOW,Pass,0
PPC,5.7,0.0,LOW,Pass,0
CLVT,5.7,0.0,LOW,Pass,3
AMZN,5.6,0.0,LOW,Pass,1
EQR,5.6,0.0,LOW,Pass,2
EXE,5.6,0.0,LOW,Pass,1
INVH,5.6,0.0,LOW,Pass,2
MLM,5.6,0.0,LOW,Pass,1
NWSA,5.6,0.0,LOW,Pass,1
ROP,5.6,0.0,LOW,Pass,2
RGA,5.6,0.0,LOW,Pass,1
FIVE,5.6,0.0,LOW,Pass,0
FHN,5.6,0.0,LOW,Pass,1
FRMI,5.6,0.0,LOW,Pass,0
ZBH,5.6,0.0,LOW,Pass,1
BMRN,5.6,0.0,LOW,Pass,2
VMI,5.6,0.0,LOW,Pass,0
TTC,5.6,0.0,LOW,Pass,0
ABNB,5.5,0.0,LOW,Pass,0
CNP,5.5,0.0,LOW,Pass,2
DELL,5.5,0.0,LOW,Pass,2
DTE,5.5,0.0,LOW,Pass,2
EME,5.5,0.0,LOW,Pass,1
GIS,5.5,0.0,LOW,Pass,1
HSY,5.5,0.0,LOW,Pass,1
ISRG,5.5,0.0,LOW,Pass,1
J,5.5,0.0,LOW,Pass,1
LHX,5.5,0.0,LOW,Pass,1
O,5.5,0.0,LOW,Pass,2
NVT,5.5,0.0,LOW,Pass,1
WWD,5.5,0.0,LOW,Pass,1
RPRX,5.5,0.0,LOW,Pass,3
PR,5.5,0.0,LOW,Pass,0
SSNC,5.5,0.0,LOW,Pass,2
PNFP,5.5,0.0,LOW,Pass,0
TRU,5.5,0.0,LOW,Pass,1
ELS,5.5,0.0,LOW,Pass,2
AR,5.5,0.0,LOW,Pass,0
MTN,5.5,0.0,LOW,Pass,0
WSC,5.5,0.0,LOW,Pass,1
IRDM,5.5,0.0,LOW,Pass,2
SNPS,5.5,0.0,LOW,Pass,2
EGP,5.5,0.0,LOW,Pass,1
CUBE,5.5,0.0,LOW,Pass,2
CHRD,5.5,0.0,LOW,Pass,1
U,5.5,0.0,LOW,Pass,1
MMM,5.4,0.0,LOW,Pass,1
ACN,5.4,0.0,LOW,Pass,2
APD,5.4,0.0,LOW,Pass,1
APH,5.4,0.0,LOW,Pass,2
EQT,5.4,0.0,LOW,Pass,1
FSLR,5.4,0.0,LOW,Pass,2
BEN,5.4,0.0,LOW,Pass,0
GE,5.4,0.0,LOW,Pass,1
HBAN,5.4,0.0,LOW,Pass,1
PLTR,5.4,0.0,LOW,Pass,1
BURL,5.4,0.0,LOW,Pass,2
USFD,5.4,0.0,LOW,Pass,1
RBA,5.4,0.0,LOW,Pass,1
VSNT,5.4,0.0,LOW,Pass,1
G,5.4,0.0,LOW,Pass,2
FBIN,5.4,0.0,LOW,Pass,0
PVH,5.4,0.0,LOW,Pass,1
TMO,5.4,0.0,LOW,Pass,1
VST,5.4,0.0,LOW,Pass,1
UGI,5.4,0.0,LOW,Pass,2
AXON,5.3,0.0,LOW,Pass,1
BLDR,5.3,0.0,LOW,Pass,0
CVX,5.3,0.0,LOW,Pass,1
C,5.3,0.0,LOW,Pass,1
DHR,5.3,0.0,LOW,Pass,1
FRT,5.3,0.0,LOW,Pass,1
IQV,5.3,0.0,LOW,Pass,1
L,5.3,0.0,LOW,Pass,0
NI,5.3,0.0,LOW,Pass,2
NVR,5.3,0.0,LOW,Pass,1
PFGC,5.3,0.0,LOW,Pass,1
RIVN,5.3,0.0,LOW,Pass,0
CHWY,5.3,0.0,LOW,Pass,0
CELH,5.3,0.0,LOW,Pass,1
SON,5.3,0.0,LOW,Pass,0
TREX,5.3,0.0,LOW,Pass,1
UI,5.3,0.0,LOW,Pass,1
AGO,5.3,0.0,LOW,Pass,1
TFC,5.3,0.0,LOW,Pass,1
VRT,5.3,0.0,LOW,Pass,1
QSR,5.3,0.0,LOW,Pass,1
ACM,5.3,0.0,LOW,Pass,1
GMED,5.3,0.0,LOW,Pass,1
FLS,5.3,0.0,LOW,Pass,1
OSK,5.3,0.0,LOW,Pass,1
MUSA,5.3,0.0,LOW,Pass,1
ARE,5.2,0.0,LOW,Pass,1
ALGN,5.2,0.0,LOW,Pass,1
ADI,5.2,0.0,LOW,Pass,2
AVB,5.2,0.0,LOW,Pass,2
AVY,5.2,0.0,LOW,Pass,1
BLK,5.2,0.0,LOW,Pass,0
CPB,5.2,0.0,LOW,Pass,1
DLTR,5.2,0.0,LOW,Pass,1
DD,5.2,0.0,LOW,Pass,1
EVRG,5.2,0.0,LOW,Pass,2
LDOS,5.2,0.0,LOW,Pass,2
LMT,5.2,0.0,LOW,Pass,1
MGM,5.2,0.0,LOW,Pass,1
PFE,5.2,0.0,LOW,Pass,1
RJF,5.2,0.0,LOW,Pass,1
AFRM,5.2,0.0,LOW,Pass,1
SNX,5.2,0.0,LOW,Pass,1
TOL,5.2,0.0,LOW,Pass,1
CACI,5.2,0.0,LOW,Pass,2
LNC,5.2,0.0,LOW,Pass,2
BIO,5.2,0.0,LOW,Pass,0
CORT,5.2,0.0,LOW,Pass,2
SRE,5.2,0.0,LOW,Pass,2
SJM,5.2,0.0,LOW,Pass,0
STE,5.2,0.0,LOW,Pass,1
TPR,5.2,0.0,LOW,Pass,1
VMC,5.2,0.0,LOW,Pass,1
MSTR,5.2,0.0,LOW,Pass,2
AJG,5.1,0.0,LOW,Pass,1
BDX,5.1,0.0,LOW,Pass,1
COF,5.1,0.0,LOW,Pass,0
EXR,5.1,0.0,LOW,Pass,2
FTV,5.1,0.0,LOW,Pass,2
GD,5.1,0.0,LOW,Pass,1
HAS,5.1,0.0,LOW,Pass,1
IEX,5.1,0.0,LOW,Pass,1
PODD,5.1,0.0,LOW,Pass,1
KEY,5.1,0.0,LOW,Pass,1
NDSN,5.1,0.0,LOW,Pass,1
NXPI,5.1,0.0,LOW,Pass,2
REG,5.1,0.0,LOW,Pass,2
TWLO,5.1,0.0,LOW,Pass,1
SGI,5.1,0.0,LOW,Pass,1
JLL,5.1,0.0,LOW,Pass,1
BLD,5.1,0.0,LOW,Pass,1
SF,5.1,0.0,LOW,Pass,0
