ticker,buffett_score,alpha_adj,conviction,verdict,material_killers,in_circle
AAPL,7.0,0.2,MODERATE,Watchlist,1,1
ACGL,7.0,0.2,MODERATE,Watchlist,0,1
AZO,7.0,0.2,MODERATE,Watchlist,1,1
CMG,7.0,0.2,MODERATE,Watchlist,1,1
CL,7.0,0.2,MODERATE,Watchlist,1,1
DXCM,7.0,0.2,MODERATE,Watchlist,1,0
GILD,7.0,0.2,MODERATE,Watchlist,1,0
HIG,7.0,0.2,MODERATE,Watchlist,1,1
HCA,7.0,0.2,MODERATE,Watchlist,0,0
IDXX,7.0,0.2,MODERATE,Watchlist,1,0
JNJ,7.0,0.2,MODERATE,Watchlist,1,0
LLY,7.0,0.2,MODERATE,Watchlist,1,0
MRK,7.0,0.2,MODERATE,Watchlist,1,0
MTD,7.0,0.2,MODERATE,Watchlist,1,0
MCO,7.0,0.2,MODERATE,Watchlist,1,1
PM,7.0,0.2,MODERATE,Watchlist,1,1
RL,7.0,0.2,MODERATE,Watchlist,0,1
RMD,7.0,0.2,MODERATE,Watchlist,1,0
AXP,6.9,0.19,MODERATE,Watchlist,1,1
CF,6.9,0.19,MODERATE,Watchlist,1,0
CPRT,6.9,0.19,MODERATE,Watchlist,1,1
BSX,6.8,0.18,MODERATE,Watchlist,1,0
BMY,6.8,0.18,MODERATE,Watchlist,1,0
CDNS,6.8,0.18,MODERATE,Watchlist,2,1
SCHW,6.8,0.18,MODERATE,Watchlist,1,1
CMCSA,6.8,0.18,MODERATE,Watchlist,1,1
EFX,6.8,0.18,MODERATE,Watchlist,1,1
FOX,6.8,0.18,MODERATE,Watchlist,0,1
HUBB,6.8,0.18,MODERATE,Watchlist,1,1
LII,6.8,0.18,MODERATE,Watchlist,1,1
ORLY,6.8,0.18,MODERATE,Watchlist,1,1
PPG,6.8,0.18,MODERATE,Watchlist,1,0
ADP,6.7,0.17,MODERATE,Watchlist,2,1
CLX,6.7,0.17,MODERATE,Watchlist,1,1
CTRA,6.7,0.17,MODERATE,Watchlist,0,0
DASH,6.7,0.17,MODERATE,Watchlist,1,1
EBAY,6.7,0.17,MODERATE,Watchlist,1,1
FCX,6.7,0.17,MODERATE,Watchlist,1,0
GDDY,6.7,0.17,MODERATE,Watchlist,2,1
OTIS,6.7,0.17,MODERATE,Watchlist,1,1
RCL,6.7,0.17,MODERATE,Watchlist,1,1
BK,6.6,0.16,MODERATE,Watchlist,1,1
PYPL,6.6,0.16,MODERATE,Watchlist,1,1
RSG,6.6,0.16,MODERATE,Watchlist,1,1
ROST,6.6,0.16,MODERATE,Watchlist,0,1
ABT,6.5,0.15,MODERATE,Watchlist,1,0
APA,6.5,0.15,MODERATE,Watchlist,1,0
CHD,6.5,0.15,MODERATE,Watchlist,1,1
CINF,6.5,0.15,MODERATE,Watchlist,0,1
GRMN,6.5,0.15,MODERATE,Watchlist,1,1
MSCI,6.5,0.15,MODERATE,Watchlist,0,1
NWSA,6.5,0.15,MODERATE,Watchlist,1,1
PNC,6.5,0.15,MODERATE,Watchlist,1,1
AIZ,6.4,0.14,MODERATE,Watchlist,1,1
KO,6.4,0.14,MODERATE,Watchlist,1,1
STZ,6.4,0.14,MODERATE,Watchlist,0,1
COST,6.4,0.14,MODERATE,Watchlist,1,1
CRH,6.4,0.14,MODERATE,Watchlist,1,0
DOV,6.4,0.14,MODERATE,Watchlist,0,1
ETN,6.4,0.14,MODERATE,Watchlist,1,1
FAST,6.4,0.14,MODERATE,Watchlist,1,1
GEHC,6.4,0.14,MODERATE,Watchlist,1,0
ITW,6.4,0.14,MODERATE,Watchlist,1,1
JKHY,6.4,0.14,MODERATE,Watchlist,2,1
KLAC,6.4,0.14,MODERATE,Watchlist,2,1
NFLX,6.4,0.14,MODERATE,Watchlist,1,1
NEM,6.4,0.14,MODERATE,Watchlist,1,0
PH,6.4,0.14,MODERATE,Watchlist,1,1
QCOM,6.4,0.14,MODERATE,Watchlist,2,1
RJF,6.4,0.14,MODERATE,Watchlist,1,1
ABNB,6.3,0.13,MODERATE,Watchlist,0,1
AME,6.3,0.13,MODERATE,Watchlist,1,1
CCL,6.3,0.13,MODERATE,Watchlist,1,1
CAH,6.3,0.13,MODERATE,Watchlist,1,0
CBOE,6.3,0.13,MODERATE,Watchlist,1,1
COP,6.3,0.13,MODERATE,Watchlist,1,0
FANG,6.3,0.13,MODERATE,Watchlist,0,0
EOG,6.3,0.13,MODERATE,Watchlist,1,0
KVUE,6.3,0.13,MODERATE,Watchlist,1,1
KMB,6.3,0.13,MODERATE,Watchlist,1,1
MS,6.3,0.13,MODERATE,Watchlist,1,1
REGN,6.3,0.13,MODERATE,Watchlist,1,1
ALL,6.2,0.12,MODERATE,Watchlist,1,1
AMZN,6.2,0.12,MODERATE,Watchlist,1,1
APO,6.2,0.12,MODERATE,Watchlist,0,1
T,6.2,0.12,MODERATE,Watchlist,1,1
CB,6.2,0.12,MODERATE,Watchlist,1,1
COO,6.2,0.12,MODERATE,Watchlist,1,0
DELL,6.2,0.12,MODERATE,Watchlist,2,1
ECL,6.2,0.12,MODERATE,Watchlist,1,0
KKR,6.2,0.12,MODERATE,Watchlist,0,1
LIN,6.2,0.12,MODERATE,Watchlist,1,0
MTB,6.2,0.12,MODERATE,Watchlist,1,1
MDT,6.2,0.12,MODERATE,Watchlist,1,0
MSI,6.2,0.12,MODERATE,Watchlist,2,1
A,6.1,0.11,MODERATE,Watchlist,1,0
BAC,6.1,0.11,MODERATE,Watchlist,1,1
BLK,6.1,0.11,MODERATE,Watchlist,0,1
BF-B,6.1,0.11,MODERATE,Watchlist,0,1
FIX,6.1,0.11,MODERATE,Watchlist,0,1
GS,6.1,0.11,MODERATE,Watchlist,1,1
ISRG,6.1,0.11,MODERATE,Watchlist,1,0
ALGN,6.0,0.0,LOW,Pass,1,0
LNT,6.0,0.0,LOW,Pass,2,0
AEE,6.0,0.0,LOW,Pass,2,0
AMT,6.0,0.0,LOW,Pass,2,0
BBY,6.0,0.0,LOW,Pass,1,1
CHTR,6.0,0.0,LOW,Pass,1,1
CMS,6.0,0.0,LOW,Pass,2,0
CPAY,6.0,0.0,LOW,Pass,2,1
DRI,6.0,0.0,LOW,Pass,2,1
DVA,6.0,0.0,LOW,Pass,1,0
D,6.0,0.0,LOW,Pass,2,0
DPZ,6.0,0.0,LOW,Pass,2,1
DUK,6.0,0.0,LOW,Pass,2,0
EIX,6.0,0.0,LOW,Pass,2,0
ES,6.0,0.0,LOW,Pass,2,0
EXC,6.0,0.0,LOW,Pass,2,0
XOM,6.0,0.0,LOW,Pass,1,0
FITB,6.0,0.0,LOW,Pass,1,1
GEN,6.0,0.0,LOW,Pass,3,1
GPN,6.0,0.0,LOW,Pass,2,1
HLT,6.0,0.0,LOW,Pass,1,1
HBAN,6.0,0.0,LOW,Pass,1,1
IR,6.0,0.0,LOW,Pass,1,1
ICE,6.0,0.0,LOW,Pass,1,1
KDP,6.0,0.0,LOW,Pass,1,1
KMI,6.0,0.0,LOW,Pass,1,0
KIM,6.0,0.0,LOW,Pass,1,0
MCK,6.0,0.0,LOW,Pass,1,0
ORCL,6.0,0.0,LOW,Pass,2,1
OKE,6.0,0.0,LOW,Pass,2,0
PEP,6.0,0.0,LOW,Pass,1,1
PFG,6.0,0.0,LOW,Pass,0,1
PRU,6.0,0.0,LOW,Pass,2,1
RF,6.0,0.0,LOW,Pass,1,1
ROK,6.0,0.0,LOW,Pass,1,1
SBAC,6.0,0.0,LOW,Pass,2,0
BLDR,5.9,0.0,LOW,Pass,0,1
CSCO,5.9,0.0,LOW,Pass,2,1
EQR,5.9,0.0,LOW,Pass,2,0
FSLR,5.9,0.0,LOW,Pass,2,1
FOXA,5.9,0.0,LOW,Pass,0,1
GIS,5.9,0.0,LOW,Pass,1,1
LOW,5.9,0.0,LOW,Pass,1,1
MKC,5.9,0.0,LOW,Pass,1,1
NDAQ,5.9,0.0,LOW,Pass,1,1
ROP,5.9,0.0,LOW,Pass,2,1
ABBV,5.8,0.0,LOW,Pass,1,0
AEP,5.8,0.0,LOW,Pass,2,0
AWK,5.8,0.0,LOW,Pass,2,0
ADI,5.8,0.0,LOW,Pass,2,1
BR,5.8,0.0,LOW,Pass,2,1
CPB,5.8,0.0,LOW,Pass,1,1
COF,5.8,0.0,LOW,Pass,0,1
CAT,5.8,0.0,LOW,Pass,1,1
CME,5.8,0.0,LOW,Pass,1,1
DVN,5.8,0.0,LOW,Pass,1,0
DLTR,5.8,0.0,LOW,Pass,1,1
EA,5.8,0.0,LOW,Pass,1,1
EME,5.8,0.0,LOW,Pass,0,1
EG,5.8,0.0,LOW,Pass,0,1
FE,5.8,0.0,LOW,Pass,2,0
HON,5.8,0.0,LOW,Pass,2,1
IBM,5.8,0.0,LOW,Pass,3,1
MET,5.8,0.0,LOW,Pass,1,1
MGM,5.8,0.0,LOW,Pass,1,1
PLTR,5.8,0.0,LOW,Pass,1,1
PNW,5.8,0.0,LOW,Pass,2,0
SPGI,5.8,0.0,LOW,Pass,1,1
ARES,5.7,0.0,LOW,Pass,2,1
COR,5.7,0.0,LOW,Pass,0,0
EQT,5.7,0.0,LOW,Pass,1,0
EXE,5.7,0.0,LOW,Pass,1,0
HD,5.7,0.0,LOW,Pass,1,1
PODD,5.7,0.0,LOW,Pass,1,0
J,5.7,0.0,LOW,Pass,1,1
MLM,5.7,0.0,LOW,Pass,1,0
OXY,5.7,0.0,LOW,Pass,1,0
PCG,5.7,0.0,LOW,Pass,2,0
HOOD,5.7,0.0,LOW,Pass,1,1
AFL,5.6,0.0,LOW,Pass,1,1
ATO,5.6,0.0,LOW,Pass,2,0
XYZ,5.6,0.0,LOW,Pass,2,1
BRO,5.6,0.0,LOW,Pass,1,1
CTVA,5.6,0.0,LOW,Pass,1,0
CCI,5.6,0.0,LOW,Pass,2,0
GE,5.6,0.0,LOW,Pass,1,1
INVH,5.6,0.0,LOW,Pass,2,0
PFE,5.6,0.0,LOW,Pass,1,0
ACN,5.5,0.0,LOW,Pass,2,1
APD,5.5,0.0,LOW,Pass,1,0
ARE,5.5,0.0,LOW,Pass,1,0
CVX,5.5,0.0,LOW,Pass,1,0
ED,5.5,0.0,LOW,Pass,2,0
CMI,5.5,0.0,LOW,Pass,1,1
DDOG,5.5,0.0,LOW,Pass,3,1
DTE,5.5,0.0,LOW,Pass,2,0
FRT,5.5,0.0,LOW,Pass,1,0
FTV,5.5,0.0,LOW,Pass,2,1
HWM,5.5,0.0,LOW,Pass,1,1
IQV,5.5,0.0,LOW,Pass,1,0
MU,5.5,0.0,LOW,Pass,2,1
NTRS,5.5,0.0,LOW,Pass,1,1
PANW,5.5,0.0,LOW,Pass,2,1
POOL,5.5,0.0,LOW,Pass,1,1
PPL,5.5,0.0,LOW,Pass,2,0
O,5.5,0.0,LOW,Pass,2,0
APH,5.4,0.0,LOW,Pass,2,1
CFG,5.4,0.0,LOW,Pass,1,1
EMR,5.4,0.0,LOW,Pass,1,1
ESS,5.4,0.0,LOW,Pass,2,0
HAS,5.4,0.0,LOW,Pass,1,1
KEY,5.4,0.0,LOW,Pass,1,1
NKE,5.4,0.0,LOW,Pass,0,1
NCLH,5.4,0.0,LOW,Pass,2,1
SNDK,5.4,0.0,LOW,Pass,1,1
AMAT,5.3,0.0,LOW,Pass,2,1
AXON,5.3,0.0,LOW,Pass,1,1
BIIB,5.3,0.0,LOW,Pass,1,0
CNP,5.3,0.0,LOW,Pass,2,0
C,5.3,0.0,LOW,Pass,1,1
GNRC,5.3,0.0,LOW,Pass,0,1
HAL,5.3,0.0,LOW,Pass,1,0
HSY,5.3,0.0,LOW,Pass,1,1
LRCX,5.3,0.0,LOW,Pass,2,1
LDOS,5.3,0.0,LOW,Pass,2,1
NI,5.3,0.0,LOW,Pass,2,0
NSC,5.3,0.0,LOW,Pass,1,1
NVR,5.3,0.0,LOW,Pass,1,1
NXPI,5.3,0.0,LOW,Pass,2,1
PSA,5.3,0.0,LOW,Pass,1,0
MMM,5.2,0.0,LOW,Pass,1,1
APTV,5.2,0.0,LOW,Pass,1,1
AVB,5.2,0.0,LOW,Pass,2,0
BDX,5.2,0.0,LOW,Pass,1,0
CDW,5.2,0.0,LOW,Pass,2,1
CTSH,5.2,0.0,LOW,Pass,2,1
CSGP,5.2,0.0,LOW,Pass,1,0
DG,5.2,0.0,LOW,Pass,2,1
DD,5.2,0.0,LOW,Pass,1,0
EXR,5.2,0.0,LOW,Pass,2,0
FISV,5.2,0.0,LOW,Pass,1,0
IFF,5.2,0.0,LOW,Pass,1,0
LHX,5.2,0.0,LOW,Pass,1,1
LMT,5.2,0.0,LOW,Pass,1,1
L,5.2,0.0,LOW,Pass,0,1
AVY,5.1,0.0,LOW,Pass,1,1
EW,5.1,0.0,LOW,Pass,1,0
EL,5.1,0.0,LOW,Pass,1,1
BEN,5.1,0.0,LOW,Pass,0,1
GD,5.1,0.0,LOW,Pass,1,1
IEX,5.1,0.0,LOW,Pass,1,1
JCI,5.1,0.0,LOW,Pass,1,1
NDSN,5.1,0.0,LOW,Pass,1,1
PEG,5.1,0.0,LOW,Pass,2,0
REG,5.1,0.0,LOW,Pass,2,0
COIN,5.0,0.0,LOW,Pass,1,1
DAL,5.0,0.0,LOW,Pass,1,1
ETR,5.0,0.0,LOW,Pass,2,0
EVRG,5.0,0.0,LOW,Pass,2,0
FDX,5.0,0.0,LOW,Pass,1,1
FIS,5.0,0.0,LOW,Pass,3,1
LH,5.0,0.0,LOW,Pass,1,0
LYB,5.0,0.0,LOW,Pass,1,0
AKAM,4.9,0.0,LOW,Pass,2,1
CSX,4.9,0.0,LOW,Pass,1,1
DHR,4.9,0.0,LOW,Pass,1,0
HPQ,4.9,0.0,LOW,Pass,2,1
JBL,4.9,0.0,LOW,Pass,1,1
LYV,4.9,0.0,LOW,Pass,1,1
DGX,4.9,0.0,LOW,Pass,1,0
AMD,4.8,0.0,LOW,Pass,2,1
BRK-B,4.8,0.0,LOW,Pass,1,1
CASY,4.8,0.0,LOW,Pass,1,1
EXPD,4.8,0.0,LOW,Pass,1,1
KR,4.8,0.0,LOW,Pass,1,1
KHC,4.8,0.0,LOW,Pass,1,1
MPC,4.8,0.0,LOW,Pass,1,0
TAP,4.8,0.0,LOW,Pass,1,1
NEE,4.8,0.0,LOW,Pass,2,0
ODFL,4.8,0.0,LOW,Pass,1,1
PHM,4.8,0.0,LOW,Pass,1,1
RVTY,4.8,0.0,LOW,Pass,2,0
AJG,4.7,0.0,LOW,Pass,1,1
BAX,4.7,0.0,LOW,Pass,2,0
BXP,4.7,0.0,LOW,Pass,2,0
CI,4.7,0.0,LOW,Pass,0,0
OMC,4.7,0.0,LOW,Pass,2,1
PKG,4.7,0.0,LOW,Pass,0,1
PLD,4.7,0.0,LOW,Pass,2,0
AES,4.6,0.0,LOW,Pass,2,0
EPAM,4.6,0.0,LOW,Pass,1,1
TECH,4.5,0.0,LOW,Pass,2,1
CHRW,4.5,0.0,LOW,Pass,1,1
CPT,4.5,0.0,LOW,Pass,1,0
CAG,4.5,0.0,LOW,Pass,2,1
HII,4.5,0.0,LOW,Pass,1,1
KEYS,4.5,0.0,LOW,Pass,2,1
MAA,4.5,0.0,LOW,Pass,2,0
BKR,4.4,0.0,LOW,Pass,1,0
CRWD,4.4,0.0,LOW,Pass,1,1
GPC,4.4,0.0,LOW,Pass,1,1
HST,4.4,0.0,LOW,Pass,0,0
NUE,4.4,0.0,LOW,Pass,0,0
PSX,4.4,0.0,LOW,Pass,1,0
CNC,4.3,0.0,LOW,Pass,2,0
DLR,4.3,0.0,LOW,Pass,2,0
DHI,4.3,0.0,LOW,Pass,1,1
HPE,4.3,0.0,LOW,Pass,3,1
AIG,4.2,0.0,LOW,Pass,1,1
CVNA,4.2,0.0,LOW,Pass,0,1
CEG,4.2,0.0,LOW,Pass,1,0
JBHT,4.2,0.0,LOW,Pass,0,1
MRNA,4.2,0.0,LOW,Pass,2,1
MDLZ,4.2,0.0,LOW,Pass,2,1
NOC,4.2,0.0,LOW,Pass,1,1
NRG,4.2,0.0,LOW,Pass,1,0
AMCR,4.1,0.0,LOW,Pass,2,1
CARR,4.1,0.0,LOW,Pass,1,1
DOC,4.1,0.0,LOW,Pass,2,0
IP,4.1,0.0,LOW,Pass,1,1
MPWR,4.1,0.0,LOW,Pass,1,1
ON,4.1,0.0,LOW,Pass,2,1
PSKY,4.1,0.0,LOW,Pass,1,1
Q,4.1,0.0,LOW,Pass,2,1
BALL,4.0,-0.2,AVOID,Avoid,1,1
DE,4.0,-0.2,AVOID,Avoid,2,1
GM,4.0,-0.2,AVOID,Avoid,2,1
IVZ,4.0,-0.2,AVOID,Avoid,1,1
MCHP,4.0,-0.2,AVOID,Avoid,2,1
ADM,3.9,-0.21,AVOID,Avoid,1,1
CRL,3.9,-0.21,AVOID,Avoid,1,0
CIEN,3.9,-0.21,AVOID,Avoid,2,1
CVS,3.9,-0.21,AVOID,Avoid,2,0
ELV,3.9,-0.21,AVOID,Avoid,1,0
F,3.9,-0.21,AVOID,Avoid,2,1
HRL,3.9,-0.21,AVOID,Avoid,1,1
HUM,3.9,-0.21,AVOID,Avoid,1,0
LEN,3.9,-0.21,AVOID,Avoid,1,1
MOS,3.9,-0.21,AVOID,Avoid,1,0
PCAR,3.9,-0.21,AVOID,Avoid,1,1
HSIC,3.8,-0.22,AVOID,Avoid,1,0
PWR,3.8,-0.22,AVOID,Avoid,1,1
RTX,3.8,-0.22,AVOID,Avoid,1,1
BG,3.7,-0.22,AVOID,Avoid,2,1
IRM,3.7,-0.22,AVOID,Avoid,2,0
CBRE,3.6,-0.23,AVOID,Avoid,2,0
SATS,3.5,-0.24,AVOID,Avoid,2,1
EQIX,3.5,-0.24,AVOID,Avoid,2,0
BA,3.3,-0.25,AVOID,Avoid,1,1
GEV,3.3,-0.25,AVOID,Avoid,1,1
INTC,3.2,-0.26,AVOID,Avoid,1,1
ALB,3.1,-0.27,AVOID,Avoid,2,0
GLW,2.8,-0.29,AVOID,Avoid,2,1
DOW,2.6,-0.3,AVOID,Avoid,2,0
COHR,2.4,-0.32,AVOID,Avoid,2,1
LITE,2.1,-0.34,AVOID,Avoid,3,1
